query_id,model,xml_sha,query,expected,verdict,wall_s,cpu_s,resident_mb,virtual_mb,states_stored,states_explored,witness_len,timeout_s,timestamp
fork_join_2_batch_nojoin__nic,fork_join_2_batch_nojoin,a7275c78becc,(SU.wait && (p1 >= 1 && p2 >= 1)) --> (SU.wait && (p1 == 0 || p2 == 0)),UNSAT,UNSAT,0.063,0.002,21.293,66390.281,23,53,,600.0,2026-09-24T16:45:54
fork_join_2_batch_nojoin__stall,fork_join_2_batch_nojoin,a7275c78becc,E<> (SU.wait && W_e4.idle && W_e5.idle && W_e6.idle && W_e7.idle && W_e8.idle && W_e9.idle && W_e10.idle && W_e11.idle && W_e0a.done && W_e0b.done && W_e0c.done && dep < 3),SAT,SAT,0.055,0.001,20.008,66370.277,154,177,20,600.0,2026-09-24T16:45:54
fork_join_2_batch_nojoin__zone,fork_join_2_batch_nojoin,a7275c78becc,A[] true,SAT,SAT,0.050,0.001,20.332,66371.273,156,182,,600.0,2026-09-24T16:45:54
fork_join_2_batch_permuted__nic,fork_join_2_batch_permuted,62ad1d289349,(SU.wait && (p1 >= 1 && p2 >= 1)) --> (SU.wait && (p1 == 0 || p2 == 0)),SAT,SAT,0.060,0.001,20.680,66370.281,117,152,,600.0,2026-09-24T16:45:38
fork_join_2_batch_permuted__zone,fork_join_2_batch_permuted,62ad1d289349,A[] true,SAT,SAT,0.054,0.001,19.996,66388.273,117,142,,600.0,2026-09-24T16:45:38
fork_join_3__acc,fork_join_3,849022e9c6fa,E<> (SU.wait && q1 == 2),SAT,SAT,0.064,0.005,20.555,66379.281,327,957,36,600.0,2026-09-24T16:45:54
fork_join_3__cost,fork_join_3,849022e9c6fa,(SU.wait && (q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1 || q3 >= 1 && a3 >= 1)) --> (SU.wait && (!(q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1 || q3 >= 1 && a3 >= 1))),SAT,SAT,68.485,65.791,436.961,67051.289,1529433,7712308,,600.0,2026-09-24T16:47:03
fork_join_3__zone,fork_join_3,849022e9c6fa,A[] true,SAT,SAT,48.809,42.962,320.625,67168.809,1529433,6143112,,600.0,2026-09-24T16:47:52
fork_join_4__frontier,fork_join_4,42ed3975c4c7,A[] true,,TIMEOUT,600.145,,,,,,,600.0,2026-09-24T16:59:53
fork_join_5__frontier,fork_join_5,44e58c744887,A[] true,,TIMEOUT,600.063,,,,,,,600.0,2026-09-24T17:19:56
