query_id,model,xml_sha,query,expected,verdict,wall_s,cpu_s,resident_mb,virtual_mb,states_stored,states_explored,witness_len,timeout_s,timestamp
tandem_2_batch_permuted__nic,tandem_2_batch_permuted,f0bc63aecd2d,(SU.wait && (q1 >= 1 && a1 >= 1)) --> (SU.wait && (q1 == 0 || a1 == 0)),SAT,SAT,0.054,0.001,20.582,66370.281,69,103,,600.0,2026-09-24T20:28:59
tandem_2_batch_permuted__zone,tandem_2_batch_permuted,f0bc63aecd2d,A[] true,SAT,SAT,0.053,0.001,20.207,66370.273,69,83,,600.0,2026-09-24T20:28:59
tandem_2_batch_shared_p1__ord_P1,tandem_2_batch_shared_p1,6719a703bfd2,E<> (SU.wait && q1 == 0 && s1 == 1 && q2 == 1 && s2 == 0),SAT,SAT,0.054,0.001,20.004,66370.281,11,13,6,600.0,2026-09-24T20:28:59
tandem_2_batch_shared_p1__ord_P2,tandem_2_batch_shared_p1,6719a703bfd2,E<> (SU.wait && q1 == 1 && s1 == 0 && q2 == 0 && s2 == 1),UNSAT,UNSAT,0.052,0.001,20.449,66371.281,35,41,,600.0,2026-09-24T20:28:59
tandem_2_batch_shared_p1__zone,tandem_2_batch_shared_p1,6719a703bfd2,A[] true,SAT,SAT,0.056,0.001,19.742,66242.273,35,41,,600.0,2026-09-24T20:29:00
tandem_2_batch_shared_p2__ord_P1,tandem_2_batch_shared_p2,45e428a0b755,E<> (SU.wait && q1 == 0 && s1 == 1 && q2 == 1 && s2 == 0),UNSAT,UNSAT,0.056,0.001,19.898,66242.281,35,41,,600.0,2026-09-24T20:29:00
tandem_2_batch_shared_p2__ord_P2,tandem_2_batch_shared_p2,45e428a0b755,E<> (SU.wait && q1 == 1 && s1 == 0 && q2 == 0 && s2 == 1),SAT,SAT,0.054,0.001,20.578,66507.281,11,13,6,600.0,2026-09-24T20:29:00
tandem_2_batch_shared_p2__zone,tandem_2_batch_shared_p2,45e428a0b755,A[] true,SAT,SAT,0.050,0.001,19.844,66370.273,35,41,,600.0,2026-09-24T20:29:00
tandem_2_batch_shared_p3__ord_over,tandem_2_batch_shared_p3,05a4844d616e,E<> (SU.wait && s1 == 1 && s2 == 1)  [r := -1],RANGE,RANGE,0.060,,,,,,,600.0,2026-09-24T20:29:00
tandem_2_batch_shared_p3__zone,tandem_2_batch_shared_p3,05a4844d616e,A[] true  [r := -1],RANGE,RANGE,0.053,,,,,,,600.0,2026-09-24T20:29:00
tandem_2_batch_shared_p3_wide__ord_over,tandem_2_batch_shared_p3_wide,67ee0e7bad6a,E<> (r < 0),SAT,SAT,0.053,0.001,20.379,66371.273,14,16,8,600.0,2026-09-24T20:29:00
tandem_2_batch_shared_p3_wide__zone,tandem_2_batch_shared_p3_wide,67ee0e7bad6a,A[] true,SAT,SAT,0.050,0.001,20.414,66507.273,45,53,,600.0,2026-09-24T20:29:00
tandem_2_c2__acc_busy,tandem_2_c2,9ed73a06becf,E<> (SU.wait && a1 == 0),SAT,SAT,0.052,0.001,19.984,66379.281,16,17,4,600.0,2026-09-24T20:29:00
tandem_2_c2__acc_queue,tandem_2_c2,9ed73a06becf,E<> (SU.wait && q1 == 2),UNSAT,UNSAT,0.051,0.001,19.867,66370.281,158,177,,600.0,2026-09-24T20:29:00
tandem_2_c2__cost,tandem_2_c2,9ed73a06becf,(SU.wait && (q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1)) --> (SU.wait && (!(q1 >= 1 && a1 >= 1 || q2 >= 1 && a2 >= 1))),SAT,SAT,0.052,0.001,20.621,66370.277,158,243,,600.0,2026-09-24T20:29:00
tandem_2_c2__zone,tandem_2_c2,9ed73a06becf,A[] true,SAT,SAT,0.051,0.001,20.281,66370.273,158,177,,600.0,2026-09-24T20:29:00
tandem_2_c5__acc_all,tandem_2_c5,e223599952ac,E<> (SU.wait && a1 == 0),UNSAT,UNSAT,0.057,0.006,21.164,66370.281,1085,1173,,600.0,2026-09-24T20:29:00
tandem_2_c5__acc_two,tandem_2_c5,e223599952ac,E<> (SU.wait && a1 == 3),SAT,SAT,0.053,0.001,20.547,66370.281,31,29,4,600.0,2026-09-24T20:29:00
